"GPSData(longitude=15.4436, latitude=46.9988, altitude=337.9, track=169.0, ground_speed=0.1)","AttitudeData(true_heading=169.0, pitch=5.5, roll=-0.09)",1745845412.9316962
"GPSData(longitude=15.4436, latitude=46.9988, altitude=337.9, track=168.8, ground_speed=0.2)","AttitudeData(true_heading=168.8, pitch=6.03, roll=-0.03)",1745845414.0313642
"GPSData(longitude=15.4436, latitude=46.9988, altitude=337.9, track=168.7, ground_speed=0.3)","AttitudeData(true_heading=168.7, pitch=6.26, roll=-0.09)",1745845415.124644
"GPSData(longitude=15.4436, latitude=46.9988, altitude=337.9, track=168.7, ground_speed=0.3)","AttitudeData(true_heading=168.7, pitch=6.28, roll=-0.07)",1745845416.232522
"GPSData(longitude=15.4436, latitude=46.9988, altitude=337.9, track=168.6, ground_speed=0.4)","AttitudeData(true_heading=168.6, pitch=6.25, roll=-0.09)",1745845417.33301
"GPSData(longitude=15.4436, latitude=46.9988, altitude=337.9, track=168.5, ground_speed=0.6)","AttitudeData(true_heading=168.6, pitch=6.25, roll=-0.09)",1745845418.407851
"GPSData(longitude=15.4436, latitude=46.9987, altitude=337.9, track=168.4, ground_speed=0.8)","AttitudeData(true_heading=168.4, pitch=6.27, roll=-0.09)",1745845419.518101
"GPSData(longitude=15.4436, latitude=46.9987, altitude=337.9, track=168.2, ground_speed=1.2)","AttitudeData(true_heading=168.2, pitch=6.3, roll=-0.08)",1745845420.624546
"GPSData(longitude=15.4436, latitude=46.9987, altitude=337.9, track=169.4, ground_speed=1.5)","AttitudeData(true_heading=168.3, pitch=6.27, roll=-0.29)",1745845421.73299
"GPSData(longitude=15.4436, latitude=46.9987, altitude=337.8, track=169.7, ground_speed=1.8)","AttitudeData(true_heading=169.9, pitch=6.33, roll=-0.18)",1745845422.8342662
"GPSData(longitude=15.4436, latitude=46.9987, altitude=337.8, track=169.7, ground_speed=2.2)","AttitudeData(true_heading=169.7, pitch=6.31, roll=-0.1)",1745845423.9245849
"GPSData(longitude=15.4436, latitude=46.9987, altitude=337.8, track=169.4, ground_speed=2.5)","AttitudeData(true_heading=169.4, pitch=6.32, roll=-0.08)",1745845425.0324092
"GPSData(longitude=15.4436, latitude=46.9986, altitude=337.8, track=168.9, ground_speed=2.9)","AttitudeData(true_heading=168.9, pitch=6.32, roll=-0.08)",1745845426.1411798
"GPSData(longitude=15.4436, latitude=46.9986, altitude=337.8, track=168.4, ground_speed=3.2)","AttitudeData(true_heading=168.5, pitch=6.32, roll=-0.07)",1745845427.2520452
"GPSData(longitude=15.4436, latitude=46.9986, altitude=337.8, track=171.4, ground_speed=3.5)","AttitudeData(true_heading=171.4, pitch=6.31, roll=0.02)",1745845428.349654
"GPSData(longitude=15.4436, latitude=46.9985, altitude=337.8, track=170.6, ground_speed=3.8)","AttitudeData(true_heading=170.6, pitch=6.32, roll=-0.08)",1745845429.448977
"GPSData(longitude=15.4436, latitude=46.9985, altitude=337.8, track=170.0, ground_speed=4.1)","AttitudeData(true_heading=170.0, pitch=6.31, roll=-0.15)",1745845430.557872
"GPSData(longitude=15.4436, latitude=46.9985, altitude=337.8, track=184.9, ground_speed=4.4)","AttitudeData(true_heading=181.3, pitch=6.22, roll=-0.3)",1745845431.641296
"GPSData(longitude=15.4436, latitude=46.9984, altitude=337.7, track=196.6, ground_speed=4.7)","AttitudeData(true_heading=194.8, pitch=6.3, roll=-0.25)",1745845432.759294
"GPSData(longitude=15.4436, latitude=46.9984, altitude=337.7, track=205.6, ground_speed=5.0)","AttitudeData(true_heading=205.6, pitch=6.27, roll=-0.31)",1745845433.87456
"GPSData(longitude=15.4436, latitude=46.9983, altitude=337.7, track=215.6, ground_speed=5.2)","AttitudeData(true_heading=215.6, pitch=6.28, roll=-0.38)",1745845434.957911
"GPSData(longitude=15.4435, latitude=46.9983, altitude=337.7, track=230.6, ground_speed=5.5)","AttitudeData(true_heading=227.8, pitch=6.29, roll=-0.44)",1745845436.068105
"GPSData(longitude=15.4434, latitude=46.9983, altitude=337.7, track=245.0, ground_speed=5.8)","AttitudeData(true_heading=242.1, pitch=6.33, roll=-0.5)",1745845437.1745028
"GPSData(longitude=15.4434, latitude=46.9982, altitude=337.7, track=259.0, ground_speed=6.0)","AttitudeData(true_heading=257.2, pitch=6.38, roll=-0.24)",1745845438.28259
"GPSData(longitude=15.4433, latitude=46.9982, altitude=337.7, track=260.5, ground_speed=6.2)","AttitudeData(true_heading=260.5, pitch=6.46, roll=-0.33)",1745845439.3841012
"GPSData(longitude=15.4432, latitude=46.9982, altitude=337.7, track=260.8, ground_speed=6.5)","AttitudeData(true_heading=260.8, pitch=6.47, roll=-0.32)",1745845440.4910998
"GPSData(longitude=15.4431, latitude=46.9982, altitude=337.7, track=261.1, ground_speed=6.7)","AttitudeData(true_heading=261.1, pitch=6.47, roll=-0.32)",1745845441.599388
"GPSData(longitude=15.443, latitude=46.9982, altitude=337.7, track=261.2, ground_speed=6.9)","AttitudeData(true_heading=261.2, pitch=6.48, roll=-0.33)",1745845442.701665
"GPSData(longitude=15.4429, latitude=46.9982, altitude=337.7, track=259.0, ground_speed=7.2)","AttitudeData(true_heading=259.0, pitch=6.5, roll=-0.36)",1745845443.806709
"GPSData(longitude=15.4428, latitude=46.9982, altitude=337.7, track=258.6, ground_speed=7.4)","AttitudeData(true_heading=258.6, pitch=6.49, roll=-0.34)",1745845444.918087
"GPSData(longitude=15.4427, latitude=46.9982, altitude=337.7, track=260.3, ground_speed=7.6)","AttitudeData(true_heading=260.1, pitch=6.51, roll=-0.33)",1745845446.0184388
"GPSData(longitude=15.4426, latitude=46.9981, altitude=337.7, track=260.8, ground_speed=7.8)","AttitudeData(true_heading=260.7, pitch=6.49, roll=-0.33)",1745845447.115942
"GPSData(longitude=15.4424, latitude=46.9981, altitude=337.7, track=261.4, ground_speed=8.0)","AttitudeData(true_heading=261.4, pitch=6.49, roll=-0.33)",1745845448.2242482
