"AttitudeData(true_heading=249.7, pitch=-0.45, roll=-0.22)",1744550161.44578
"AttitudeData(true_heading=249.7, pitch=-0.44, roll=-0.22)",1744550162.455897
"AttitudeData(true_heading=249.7, pitch=-0.42, roll=-0.22)",1744550163.468639
"AttitudeData(true_heading=249.7, pitch=-0.39, roll=-0.22)",1744550164.4859068
"AttitudeData(true_heading=249.7, pitch=-0.35, roll=-0.22)",1744550165.4976158
"AttitudeData(true_heading=249.7, pitch=-0.33, roll=-0.22)",1744550166.51036
"AttitudeData(true_heading=249.7, pitch=-0.32, roll=-0.22)",1744550167.5374851
"AttitudeData(true_heading=249.6, pitch=-0.32, roll=-0.21)",1744550168.570324
"AttitudeData(true_heading=249.7, pitch=-0.31, roll=-0.21)",1744550169.662467
"AttitudeData(true_heading=249.7, pitch=-0.31, roll=-0.21)",1744550170.73924
"AttitudeData(true_heading=249.8, pitch=-0.32, roll=-0.2)",1744550171.8374872
"AttitudeData(true_heading=249.8, pitch=-0.31, roll=-0.2)",1744550172.870579
"AttitudeData(true_heading=249.8, pitch=-0.32, roll=-0.2)",1744550173.921525
"AttitudeData(true_heading=249.8, pitch=-0.32, roll=-0.21)",1744550174.997133
"AttitudeData(true_heading=249.8, pitch=-0.32, roll=-0.21)",1744550176.028485
"AttitudeData(true_heading=249.8, pitch=-0.31, roll=-0.21)",1744550177.078203
"AttitudeData(true_heading=249.8, pitch=-0.31, roll=-0.21)",1744550178.1454809
"AttitudeData(true_heading=249.8, pitch=-0.31, roll=-0.2)",1744550179.194725
"AttitudeData(true_heading=249.8, pitch=-0.3, roll=-0.2)",1744550180.270305
"AttitudeData(true_heading=249.8, pitch=-0.3, roll=-0.2)",1744550181.311363
"AttitudeData(true_heading=249.8, pitch=-0.29, roll=-0.19)",1744550182.3533561
"AttitudeData(true_heading=249.8, pitch=-0.28, roll=-0.19)",1744550183.4704142
"AttitudeData(true_heading=249.8, pitch=0.05, roll=-0.19)",1744550184.576289
"AttitudeData(true_heading=249.8, pitch=2.41, roll=-0.18)",1744550185.644757
"AttitudeData(true_heading=249.7, pitch=6.72, roll=-0.15)",1744550186.7115571
"AttitudeData(true_heading=249.7, pitch=9.6, roll=0.02)",1744550187.742143
"AttitudeData(true_heading=249.7, pitch=12.36, roll=0.15)",1744550188.791161
"AttitudeData(true_heading=249.8, pitch=13.31, roll=0.15)",1744550189.829043
"AttitudeData(true_heading=249.8, pitch=14.34, roll=0.06)",1744550190.895085
"AttitudeData(true_heading=249.9, pitch=15.07, roll=-0.1)",1744550191.978176
"AttitudeData(true_heading=249.9, pitch=15.69, roll=-0.2)",1744550193.052651
"AttitudeData(true_heading=249.8, pitch=16.23, roll=-0.28)",1744550194.09423
"AttitudeData(true_heading=249.9, pitch=16.62, roll=-0.32)",1744550195.178009
"AttitudeData(true_heading=249.9, pitch=16.96, roll=-0.17)",1744550196.253143
"AttitudeData(true_heading=249.9, pitch=17.26, roll=0.07)",1744550197.3363461
